listing_id,id,date,reviewer_id,reviewer_name,comments;;;
"6606,5664,2009-07-17,18085,Vivian,""The Urban Cottage is comfortable, beautiful, fun and really convenient!  Joyce is an amazing host and super friendly.  The Wallingford neighborhood is convenient to outdoor adventures, shopping, relaxation, and to lots of buses to downtown.  If you get a chance to stay with Joyce, I highly recommend it!  We will definitely be back again!""";;;
"6606,338761,2011-06-27,434031,Elliott,""Joyce was a wonderful host and the urban cottage is a such an awesome place to stay (quiet, clean, comfortable, private).  I highly recommend this place - you will not be disappointed!""";;;
"6606,467904,2011-08-22,976182,Allegra,""Beautiful cottage and warm hospitality from Joyce. Even though we never got a chance to see each other I felt welcome. The neighborhood is charming, quiet, and you can walk just a few blocks to good food, drinks and shopping. Joyce was super communicative and cut us a deal as we were only allowed to use the outdoor shower due to the entire house being rented. Don't let that scare you off - it's beautiful and with a little creative towel hanging 100% private!""";;;
"6606,480017,2011-08-27,997921,Brittney,""Joyce is a wonderful host! She is warm, helpful and fun to visit with. The cottage is cozy, bright and has all the comforts you could want.  I would stay here again anytime I'm in the area :)""";;;
"6606,487278,2011-08-30,206901,Pascal,""Joyce's cottage is the perfect Seattle location! It's close Fremont, Ballard and Wallingford. The cottage has everything you need with a small kitchenette and the toilet. Joyce really knows what travelers like and she provided everything we wished for. It was clean, quiet and utterly convenient. We would love to stay again!";;;
"<br/>Pascal + Jeanne""";;;
"6606,505388,2011-09-06,552477,Ivy,""Joyce's cottage and home were absolutely lovely! So private and pretty, and so centrally located in Seattle. Joyce is a wonderful hostess, offering breakfast, hot tubs, directions and suggestions. I plan on returning again and again. Enjoy! """;;;
"6606,570582,2011-09-26,1110380,Wendy,""Sweet little place, quiet, cozy, great location. Loved taking outdoor showers. Composting toilet is just fine, does make the room quite warm.""";;;
"6606,1322495,2012-05-21,2354750,Sallie,""Joyce accommodated the needs of my daughter and me on very short notice.  We were thrilled at the quality of the Urban Cottage and the guest room.  Having access to the kitchen and bath in the house allowed us to share breakfasts and coffee.  The location in Wallingford is great - walk to grocery store and other shopping/restaurants.  Joyce was helpful, friendly and kind.""";;;
"6606,1395422,2012-06-01,1845181,Susan And David,""the Urban Cottage was a wonderful place to stay for our visit to Seattle and was very nicely furnished with all that we needed in the kitchen, sleeping area and amenities. The surroundings were beautiful and quiet. Joyce was a warm and fun host.  Susan and David Askue""";;;
